"Company Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Primary SIC Code","Cuisine Code"
"FATE Brewing Co","1600 38th St #100","Boulder","CO","80301","Verified","040.015077","-105.245802","581208","e"
"Fior Di Latte","1433 Pearl St","Boulder","CO","80302","Verified","040.018905","-105.276606","581208",""
"Fior Di Latte Inc West","1021 Pearl St","Boulder","CO","80302","Verified","040.017763","-105.282131","581208",""
"Firehouse Subs","1695 29th St # 1252","Boulder","CO","80301","Verified","040.019748","-105.255616","581208","D"
"Five Guys","1855 29th St # 1154","Boulder","CO","80301","Verified","040.019249","-105.256577","581208","e"
"Five Spice","3325 28th St # 5","Boulder","CO","80301","Verified","040.035281","-105.259788","581208","Y"
"Flagstaff House","1138 Flagstaff Rd","Boulder","CO","80302","Verified","040.007554","-105.295139","581208","3"
"Flagstaff House Restaurant","Flagstaff Rd","Boulder","CO","80302","Verified","040.018700","-105.287200","581208","1"
"Flatiron Meal Plan","1163 13th St # A","Boulder","CO","80302","Verified","040.008430","-105.276405","549910",""
"Flower Child","2580 Arapahoe Ave","Boulder","CO","80302","Verified","040.014328","-105.260490","581208","z"
"Flower Pepper Restaurant","2655 Broadway St","Boulder","CO","80304","Verified","040.025165","-105.282455","581206",""
"Folsom Thai","1575 Folsom St # 101","Boulder","CO","80302","Verified","040.015204","-105.263374","581208","T"
"Foolish Craig's Cafe","1611 Pearl St","Boulder","CO","80302","Verified","040.019335","-105.274504","581208","A"
"Frank's Chophouse","921 Walnut St","Boulder","CO","80302","Verified","040.016530","-105.282878","581208","0"
"Frasca Food & Wine","1738 Pearl St","Boulder","CO","80302","Verified","040.019137","-105.272423","581208","3"
"French Quarter Brasserie-Bldr","1207 Pearl St","Boulder","CO","80302","Verified","040.018229","-105.279830","581208","1"
"Fresh Thyme Farmers Market","2690 28th St # F","Boulder","CO","80301","Verified","040.027041","-105.257614","541105",""
"Fresh Thymes Eatery","2500 30th St #101","Boulder","CO","80301","Verified","040.026727","-105.253263","581208","3"
"Fringe Pizza","2900 Valmont Rd # A","Boulder","CO","80301","Verified","040.028734","-105.255592","581208","P"
"Fruition","3730 Star Ln","Boulder","CO","80301","Verified","040.042708","-105.251100","581208",""
"Fuji Caf & Bar","2018 Broadway","Boulder","CO","80302","Verified","040.018211","-105.279909","581208","J"
"Full Belly","2779 Iris Ave","Boulder","CO","80304","Verified","040.036558","-105.259382","581208",""
"Gaia Masala & Burger","1116 13th St","Boulder","CO","80302","Verified","040.007633","-105.276054","581208","e"
"Gaku Ramen II LLC","1119 13th St","Boulder","CO","80302","Verified","040.007658","-105.276586","581208","Y"
"Gluten Free Bistro","5131 Williams Fork Trl # 115","Boulder","CO","80301","Verified","040.067864","-105.199749","581208","A"
"Gold Hill Inn","401 Main St","Boulder","CO","80302","Verified","040.063068","-105.409050","581208","3"
"Golden Sun","1635 28th St","Boulder","CO","80301","Verified","040.015610","-105.259438","581212",""
"Gondolier Italian Eatery","4800 Baseline Rd # A104","Boulder","CO","80303","Verified","039.998439","-105.234243","581208","I"
"Good Apples","1636 16th St","Boulder","CO","80302","Verified","040.016023","-105.273380","581208",""
"Good Times 101","2050 26th St","Boulder","CO","80302","Verified","040.022504","-105.260896","581208","e"
"Goody Monster","1310 College Ave # 235","Boulder","CO","80302","Verified","040.007046","-105.275884","581208",""
"Greenbriar Inn","8735 N Foothills Hwy","Boulder","CO","80302","Verified","040.132187","-105.282912","581208","3"
"Greystone Castle Pop Up Rstrnt","5331 Flagstaff Rd","Boulder","CO","80302","Verified","039.979790","-105.329175","581208",""
"Gurkhas Curry Kitchen","4800 Baseline Rd # A107","Boulder","CO","80303","Verified","039.998439","-105.234243","581208","F"
"Gurkhas On The Hill","1310 College Ave #230","Boulder","CO","80302","Verified","040.007046","-105.275884","581208","Y"
"Half Fast Subs On The Hill","1215 13th St # A","Boulder","CO","80302","Verified","040.008990","-105.276576","581208","3"
"Haoway Chinese Cafe","1678 30th St","Boulder","CO","80301","Verified","040.016523","-105.253470","581208","C"
"Hapa Sushi Grill & Sake Bar","1117 Pearl St","Boulder","CO","80302","Verified","040.018018","-105.280880","581208","J"
"Harman-Management Corp","3210 Arapahoe Ave","Boulder","CO","80303","Verified","040.014331","-105.250934","581208",""
"Holy Sushi Inc","1136 Pearl St","Boulder","CO","80302","Verified","040.017517","-105.280284","581208","v"
"Hookah House","1325 Broadway # 215","Boulder","CO","80302","Verified","040.009898","-105.277055","581208",""
"Hotel Boulderado","2115 13th St","Boulder","CO","80302","Verified","040.019523","-105.279147","701101",""
"Hungry Toad","2543 Broadway St","Boulder","CO","80304","Verified","040.024335","-105.282434","581208","3"
"IHOP Restaurant","1675 28th St","Boulder","CO","80301","Verified","040.016354","-105.258795","581208","3"
